Score,GDP per capita,Social support,Healthy life expectancy
7.821,1.892,1.258,0.775
7.636,1.953,1.243,0.777
7.557,1.936,1.320,0.803
7.512,2.026,1.226,0.822
7.415,1.945,1.206,0.787
7.404,2.209,1.155,0.790
7.384,1.920,1.204,0.803
7.365,1.997,1.239,0.786
7.364,1.826,1.221,0.818
7.200,1.852,1.235,0.752
7.163,1.931,1.165,0.774
7.162,1.900,1.203,0.772
7.041,2.129,1.166,0.779
7.034,1.924,1.088,0.776
7.025,1.886,1.188,0.783
6.977,1.982,1.182,0.628
6.943,1.867,1.143,0.750
6.920,1.815,1.260,0.715
6.805,1.907,1.106,0.764
6.687,1.863,1.219,0.808
6.647,1.854,1.029,0.625
6.630,1.810,1.249,0.769
6.582,1.584,1.054,0.744
6.576,1.998,0.980,0.633
6.523,1.870,1.092,0.577
6.512,1.897,1.095,0.733
6.480,2.149,1.127,0.851
6.477,1.719,1.006,0.655
6.476,1.808,1.211,0.808
6.474,1.615,1.180,0.672
6.467,1.834,1.052,0.801
6.455,1.362,0.949,0.569
6.447,1.838,1.169,0.789
6.446,1.804,1.204,0.659
6.391,1.736,1.232,0.707
6.341,1.793,1.232,0.728
6.309,1.715,1.107,0.709
6.293,1.462,1.044,0.615
6.262,1.274,0.831,0.522
6.234,1.668,1.220,0.611
6.221,1.815,0.909,0.819
6.180,1.732,1.221,0.637
6.178,1.550,1.086,0.658
6.172,1.651,1.080,0.748
6.165,1.105,1.029,0.617
6.128,1.552,0.886,0.623
6.125,1.705,1.183,0.709
6.123,1.758,1.174,0.712
6.120,1.265,0.768,0.607
6.106,1.904,0.983,0.747
6.086,1.748,1.233,0.668
6.071,1.591,1.116,0.568
6.063,1.219,1.092,0.600
6.039,1.835,1.089,0.866
6.022,1.111,0.885,0.555
6.016,1.760,1.078,0.777
5.967,1.592,1.102,0.662
5.948,1.703,0.980,0.774
5.935,1.851,0.886,0.841
5.904,1.268,0.912,0.514
5.891,1.535,1.096,0.697
5.857,1.417,1.008,0.597
5.850,1.296,1.045,0.646
5.828,1.069,1.109,0.638
5.821,1.562,1.157,0.629
5.781,1.452,0.929,0.720
5.768,1.468,1.068,0.665
5.761,1.393,1.197,0.467
5.737,1.538,1.003,0.577
5.711,1.689,0.938,0.620
5.600,1.256,0.880,0.555
5.585,1.508,0.958,0.705
5.578,1.409,1.130,0.624
5.559,1.397,0.865,0.735
5.547,1.573,1.023,0.659
5.533,1.352,0.879,0.708
5.485,1.252,0.932,0.611
5.474,1.484,1.319,0.516
5.467,1.815,0.888,0.819
5.459,1.685,1.095,0.586
5.425,1.957,0.954,0.942
5.399,1.434,0.820,0.668
5.377,0.966,1.005,0.518
5.377,0.984,0.784,0.499
5.371,1.625,1.163,0.640
5.330,1.476,0.943,0.606
5.240,1.382,0.883,0.539
5.235,1.094,0.442,0.322
5.199,1.505,0.863,0.637
5.199,1.439,0.646,0.719
5.194,1.425,1.088,0.361
5.173,1.458,1.093,0.560
5.164,0.785,0.621,0.369
5.155,1.060,0.614,0.581
5.140,1.239,0.654,0.479
5.122,1.363,0.970,0.643
5.122,0.636,0.670,0.309
5.084,1.411,1.081,0.583
5.075,0.950,0.405,0.355
5.060,1.208,0.268,0.565
5.048,0.578,0.660,0.191
5.048,0.968,0.672,0.317
5.046,0.933,0.530,0.447
5.003,0.570,0.560,0.326
4.973,1.467,0.612,0.595
4.958,1.459,0.738,0.396
4.941,1.289,0.682,0.554
4.925,0.000,0.968,0.578
4.891,0.848,0.566,0.275
4.888,1.410,0.741,0.642
4.872,1.112,0.595,0.409
4.744,1.707,0.865,0.702
4.670,0.779,0.565,0.320
4.640,1.019,0.732,0.505
4.623,0.932,0.064,0.335
4.609,0.899,0.476,0.424
4.603,0.777,0.875,0.418
4.552,1.079,0.732,0.300
4.543,1.032,0.605,0.401
4.516,1.350,0.596,0.656
4.516,1.049,0.413,0.374
4.483,1.148,0.957,0.521
4.479,0.792,0.483,0.311
4.459,1.292,0.877,0.354
4.396,1.274,0.786,0.197
4.394,1.038,0.829,0.491
4.362,1.415,0.934,0.660
4.339,0.670,0.645,0.378
4.288,1.388,0.732,0.548
4.251,0.662,0.506,0.225
4.241,0.788,0.809,0.457
4.197,0.691,1.043,0.384
4.153,1.100,0.865,0.450
4.152,1.324,0.724,0.675
4.112,0.771,0.322,0.360
3.777,1.167,0.376,0.471
3.760,0.930,0.577,0.306
3.750,0.648,0.279,0.388
3.702,0.848,0.597,0.425
3.574,0.686,0.416,0.273
3.512,0.839,0.848,0.000
3.471,1.503,0.815,0.280
3.268,0.785,0.133,0.462
2.995,0.947,0.690,0.270
2.955,1.392,0.498,0.631
2.404,0.758,0.000,0.289
